# Z  N    p0d03/2   p0d05/2   p1s01/2   n0d03/2   n0d05/2   n1s01/2  
  9   8     1.843    -4.554    -3.201    -1.880    -5.597    -4.490
  9   9    -0.085    -6.161    -4.435    -2.052    -6.161    -4.435
  9  10    -1.947    -7.713    -5.625    -2.215    -6.703    -4.376
  9  11    -3.751    -9.215    -6.776    -2.370    -7.224    -4.314
  9  12    -5.502   -10.672    -7.891    -2.518    -7.727    -4.250
  9  13    -7.205   -12.089    -8.974    -2.660    -8.215    -4.183
  9  14    -8.865   -13.470   -10.028    -2.796    -8.215    -4.115
  9  15    -9.936   -14.511   -12.844    -2.729    -8.147    -5.632
  9  16   -10.969   -15.513   -15.580    -2.647    -8.064    -5.632
  9  17   -12.331   -18.870   -16.575    -2.898    -8.207    -5.550
  9  18   -13.667   -22.156   -17.553    -3.145    -8.348    -5.470
  9  19   -14.978   -25.378   -18.513    -3.388    -8.487    -5.393
  9  20   -16.267   -28.538   -19.456    -3.388    -8.624    -5.317
