# Ex(MeV)	Ib(7/2+)
2.244	0.005906
3.203	0.063805
4.799	0.124035
5.51	0.015042
5.656	0.03321
5.852	0.007137
6.686	0.003134
7.106	0.006915
8.138	0.007979
8.985	0.013278
9.667	0.015852
10.655	0.016548
11.703	0.011401
12.833	0.007255
14.035	0.002423
15.573	0.001186
16.992	0.000683
18.515	0.000298
20.064	8.4e-5
21.216	5.0e-6
