# Ex(MeV)	BGT(1/MeV)	J*2
48.274	5.9e-5	7
48.322	0.0	7
48.338	0.0	3
48.346	0.0	5
48.352	0.0	3
48.355	5.9e-5	5
48.377	0.0	3
48.385	0.0	7
48.443	0.0	5
48.467	0.0	3
48.576	0.006344	3
48.613	0.0	3
48.616	0.0	3
48.621	0.0	3
48.622	0.0	3
48.622	5.9e-5	7
48.622	0.0	7
48.65	0.0	3
48.728	0.0	3
48.759	0.008597	5
48.766	0.0	5
48.783	0.0	3
48.813	0.0	7
48.833	0.0	7
48.873	0.0	3
48.896	0.0	5
48.922	0.0	5
48.925	0.0	7
49.007	0.0	7
49.011	0.0	7
49.013	0.0	3
49.025	0.0	7
49.033	0.0	5
49.047	0.0	5
49.183	0.0	3
49.25	0.0	3
49.258	0.0	5
49.275	0.0	3
49.354	0.0	7
49.363	5.9e-5	5
49.39	0.0	3
49.401	0.0	5
49.417	5.9e-5	5
49.42	0.0	5
49.431	0.0	3
49.431	0.0	7
49.435	5.9e-5	3
49.466	0.009842	7
49.481	0.0	3
49.523	0.0	7
49.534	0.0	7
49.54	0.0	7
49.558	5.9e-5	5
49.608	0.0	3
49.615	0.0	3
49.643	5.9e-5	7
49.649	0.0	7
49.682	0.0	3
49.733	0.0	5
49.74	0.0	3
49.765	5.9e-5	7
49.87	0.0	7
49.876	0.0	7
49.905	0.0	5
49.939	0.0	5
49.947	0.0	3
50.012	0.0	5
50.031	0.0	7
50.077	0.0	3
50.15	5.9e-5	5
50.157	5.9e-5	7
50.16	0.0	7
50.179	0.0	3
50.179	5.9e-5	7
50.21	0.0	3
50.224	0.0	5
50.252	0.0	3
50.254	0.0	7
50.343	0.0	3
50.386	0.0	3
50.398	0.0	3
50.431	0.0	7
50.446	0.0	3
50.49	0.0	7
50.499	5.9e-5	5
50.513	0.0	3
50.557	0.0	7
50.574	0.0	7
50.594	0.0	5
50.673	5.9e-5	3
50.693	0.0	5
50.694	5.9e-5	7
50.711	0.0	5
50.77	0.0	3
50.802	0.0	3
50.835	0.0	3
50.868	5.9e-5	5
50.877	0.0	7
50.879	0.0	3
50.887	0.0	7
50.891	0.0	5
50.896	0.0	5
50.938	5.9e-5	5
50.962	5.9e-5	7
50.998	0.0	5
51.008	0.0	5
51.017	0.0	3
51.031	0.0	5
51.037	0.0	7
51.056	5.9e-5	7
51.057	5.9e-5	7
51.095	0.0	5
51.104	0.0	3
51.114	5.9e-5	5
51.155	5.9e-5	5
51.17	0.0	5
51.184	0.0	5
51.203	5.9e-5	5
51.204	0.0	3
51.212	0.0	3
51.246	5.9e-5	7
51.247	0.0	7
51.293	0.004387	3
51.31	0.0	3
51.335	5.9e-5	7
51.351	0.0	3
51.355	5.9e-5	5
51.397	0.0	7
51.424	0.0	3
51.43	0.0	3
51.451	5.9e-5	5
51.466	0.0	3
51.471	0.0	3
51.496	0.0	7
51.512	0.005751	5
51.52	0.0	5
51.523	5.9e-5	7
51.524	0.0	5
51.538	0.0	3
51.549	0.0	7
51.557	0.0	7
51.561	0.0	7
51.565	0.0	5
51.581	0.0	5
51.619	0.0	3
51.624	5.9e-5	5
51.625	0.0	3
51.631	5.9e-5	3
51.643	0.0	3
51.644	0.0	5
51.706	0.0	5
51.708	5.9e-5	5
51.712	0.0	3
51.725	5.9e-5	7
51.734	0.0	3
51.739	0.0	7
51.746	0.0	3
51.761	5.9e-5	3
51.774	0.0	3
51.779	5.9e-5	7
51.793	5.9e-5	5
51.811	0.0	3
51.825	5.9e-5	5
51.827	0.0	7
51.898	0.0	3
51.905	5.9e-5	7
51.906	0.0	7
51.933	0.0	5
51.945	5.9e-5	7
51.961	5.9e-5	3
51.985	0.0	5
51.996	5.9e-5	3
52.01	0.0	7
52.01	0.0	7
52.022	5.9e-5	7
52.08	0.0	3
52.085	0.0	7
52.095	0.0	7
52.096	0.0	3
52.11	0.0	3
52.123	5.9e-5	7
52.134	5.9e-5	5
52.135	5.9e-5	7
52.155	0.00664	7
52.168	5.9e-5	5
52.17	0.0	3
52.179	0.0	3
52.184	0.0	3
52.186	0.0	5
52.191	5.9e-5	5
52.213	0.0	7
52.219	5.9e-5	7
