# Ex(MeV)	Ib(3/2+)
0.594	0.012056
1.86	0.062048
3.928	0.000164
4.211	0.001135
4.291	0.1083
6.122	0.000545
6.587	0.003995
6.805	0.013515
7.45	0.006056
8.602	0.006504
9.274	0.009602
10.17	0.012084
11.158	0.005479
12.345	0.002894
13.537	0.002045
15.099	0.001204
16.398	0.000716
17.886	0.000239
19.469	6.6e-5
20.972	6.0e-6
