#                                                                   TOTAL PARTICLE EMISSION SPECTRA
#      Emin       Emax  Spectra / Decay / MeV
#     [MeV]      [MeV]      gamma    neutron   electron   neutrino
     6.2500     6.3500 2.1978e-08 1.4848e-02 1.0519e-01 1.0110e-01
     6.3500     6.4500 2.2423e-08 1.4624e-02 1.0561e-01 1.0191e-01
     6.4500     6.5500 2.4181e-08 1.4765e-02 1.0596e-01 1.0265e-01
     6.5500     6.6500 2.2875e-08 1.1048e-02 1.0625e-01 1.0334e-01
     6.6500     6.7500 2.4261e-08 9.9185e-03 1.0648e-01 1.0396e-01
     6.7500     6.8500 3.3725e-08 1.1983e-02 1.0664e-01 1.0452e-01
     6.8500     6.9500 3.3006e-08 1.0905e-02 1.0674e-01 1.0500e-01
     6.9500     7.0500 2.3515e-08 7.8564e-03 1.0678e-01 1.0543e-01
     7.0500     7.1500 2.2509e-08 8.4732e-03 1.0675e-01 1.0580e-01
     7.1500     7.2500 2.3382e-08 1.0630e-02 1.0667e-01 1.0610e-01
     7.2500     7.3500 2.8398e-08 9.7102e-03 1.0652e-01 1.0633e-01
     7.3500     7.4500 3.2762e-08 8.0095e-03 1.0631e-01 1.0651e-01
     7.4500     7.5500 2.8490e-08 6.5913e-03 1.0605e-01 1.0661e-01
     7.5500     7.6500 2.4786e-08 5.0948e-03 1.0572e-01 1.0666e-01
     7.6500     7.7500 2.3150e-08 5.2678e-03 1.0534e-01 1.0664e-01
     7.7500     7.8500 2.3573e-08 7.3213e-03 1.0491e-01 1.0656e-01
     7.8500     7.9500 2.5680e-08 5.5311e-03 1.0443e-01 1.0642e-01
     7.9500     8.0500 2.7489e-08 4.5061e-03 1.0389e-01 1.0622e-01
     8.0500     8.1500 2.5114e-08 6.5470e-03 1.0330e-01 1.0596e-01
     8.1500     8.2500 2.5245e-08 4.1470e-03 1.0266e-01 1.0565e-01
     8.2500     8.3500 3.1256e-08 2.9412e-03 1.0197e-01 1.0528e-01
     8.3500     8.4500 3.7660e-08 2.6850e-03 1.0124e-01 1.0485e-01
     8.4500     8.5500 3.0067e-08 2.8516e-03 1.0046e-01 1.0437e-01
     8.5500     8.6500 2.8731e-08 2.6963e-03 9.9637e-02 1.0384e-01
     8.6500     8.7500 2.8290e-08 2.1753e-03 9.8772e-02 1.0326e-01
     8.7500     8.8500 2.3937e-08 2.3565e-03 9.7866e-02 1.0262e-01
     8.8500     8.9500 2.4795e-08 2.8674e-03 9.6921e-02 1.0195e-01
     8.9500     9.0500 3.2725e-08 1.6260e-03 9.5938e-02 1.0122e-01
     9.0500     9.1500 3.1710e-08 2.0720e-03 9.4919e-02 1.0045e-01
     9.1500     9.2500 2.3654e-08 2.5022e-03 9.3862e-02 9.9625e-02
     9.2500     9.3500 2.6078e-08 1.6507e-03 9.2771e-02 9.8775e-02
     9.3500     9.4500 3.6455e-08 1.5991e-03 9.1647e-02 9.7882e-02
