 2xJf      Ef      2xJi     Ei       Ex       Mred.    B(EM )->   B(EM)<-   Mom.
  7(  67)  -42.833  5(   1)  -69.579 -26.746    0.0231    0.0001    0.0001    0.0000
  7(  68)  -42.631  5(   1)  -69.579 -26.948    0.0227    0.0001    0.0001    0.0000
  7(  69)  -43.021  5(   1)  -69.579 -26.558    0.0222    0.0001    0.0001    0.0000
  7(  70)  -42.451  5(   1)  -69.579 -27.129    0.0204    0.0001    0.0001    0.0000
  7(  71)  -43.662  5(   1)  -69.579 -25.917    0.0205    0.0001    0.0001    0.0000
  7(  72)  -44.177  5(   1)  -69.579 -25.402    0.0203    0.0001    0.0001    0.0000
  7(  73)  -44.591  5(   1)  -69.579 -24.988    0.0201    0.0001    0.0001    0.0000
  7(  74)  -44.199  5(   1)  -69.579 -25.380    0.0205    0.0001    0.0001    0.0000
  7(  75)  -43.300  5(   1)  -69.579 -26.279    0.0200    0.0001    0.0001    0.0000
  7(  76)  -43.110  5(   1)  -69.579 -26.469    0.0184    0.0000    0.0001    0.0000
  7(  77)  -42.450  5(   1)  -69.579 -27.129    0.0168    0.0000    0.0000    0.0000
  7(  78)  -41.908  5(   1)  -69.579 -27.671    0.0156    0.0000    0.0000    0.0000
  7(  79)  -41.285  5(   1)  -69.579 -28.294    0.0148    0.0000    0.0000    0.0000
  7(  80)  -40.709  5(   1)  -69.579 -28.870    0.0140    0.0000    0.0000    0.0000
  7(  81)  -39.063  5(   1)  -69.579 -30.516    0.0123    0.0000    0.0000    0.0000
  7(  82)  -38.098  5(   1)  -69.579 -31.481    0.0099    0.0000    0.0000    0.0000
  7(  83)  -36.648  5(   1)  -69.579 -32.932    0.0069    0.0000    0.0000    0.0000
  7(  84)  -37.769  5(   1)  -69.579 -31.810    0.0048    0.0000    0.0000    0.0000
  7(  85)  -41.266  5(   1)  -69.579 -28.313    0.0044    0.0000    0.0000    0.0000
  7(  86)  -43.479  5(   1)  -69.579 -26.100    0.0044    0.0000    0.0000    0.0000
  7(  87)  -44.102  5(   1)  -69.579 -25.477    0.0044    0.0000    0.0000    0.0000
  7(  88)  -45.349  5(   1)  -69.579 -24.230    0.0049    0.0000    0.0000    0.0000
  7(  89)  -44.196  5(   1)  -69.579 -25.383    0.0045    0.0000    0.0000    0.0000
  7(  90)  -42.617  5(   1)  -69.579 -26.962    0.0039    0.0000    0.0000    0.0000
  7(  91)  -42.346  5(   1)  -69.579 -27.234    0.0037    0.0000    0.0000    0.0000
  7(  92)  -42.799  5(   1)  -69.579 -26.780    0.0036    0.0000    0.0000    0.0000
  7(  93)  -43.319  5(   1)  -69.579 -26.260    0.0037    0.0000    0.0000    0.0000
  7(  94)  -43.799  5(   1)  -69.579 -25.780    0.0036    0.0000    0.0000    0.0000
  7(  95)  -44.325  5(   1)  -69.579 -25.254    0.0036    0.0000    0.0000    0.0000
  7(  96)  -45.331  5(   1)  -69.579 -24.249    0.0036    0.0000    0.0000    0.0000
  7(  97)  -43.109  5(   1)  -69.579 -26.470    0.0032    0.0000    0.0000    0.0000
  7(  98)  -42.795  5(   1)  -69.579 -26.784    0.0030    0.0000    0.0000    0.0000
  7(  99)  -42.860  5(   1)  -69.579 -26.719    0.0029    0.0000    0.0000    0.0000
  7( 100)  -42.271  5(   1)  -69.579 -27.308    0.0027    0.0000    0.0000    0.0000
  7( 101)  -42.529  5(   1)  -69.579 -27.050    0.0027    0.0000    0.0000    0.0000
  7( 102)  -42.019  5(   1)  -69.579 -27.561    0.0027    0.0000    0.0000    0.0000
  7( 103)  -43.469  5(   1)  -69.579 -26.110    0.0028    0.0000    0.0000    0.0000
  7( 104)  -44.486  5(   1)  -69.579 -25.094    0.0030    0.0000    0.0000    0.0000
  7( 105)  -42.959  5(   1)  -69.579 -26.620    0.0031    0.0000    0.0000    0.0000
  7( 106)  -42.261  5(   1)  -69.579 -27.318    0.0027    0.0000    0.0000    0.0000
  7( 107)  -44.707  5(   1)  -69.579 -24.872    0.0032    0.0000    0.0000    0.0000
  7( 108)  -45.543  5(   1)  -69.579 -24.036    0.0035    0.0000    0.0000    0.0000
  7( 109)  -42.807  5(   1)  -69.579 -26.772    0.0029    0.0000    0.0000    0.0000
  7( 110)  -41.501  5(   1)  -69.579 -28.078    0.0019    0.0000    0.0000    0.0000
  7( 111)  -42.034  5(   1)  -69.579 -27.545    0.0018    0.0000    0.0000    0.0000
  7( 112)  -45.002  5(   1)  -69.579 -24.577    0.0019    0.0000    0.0000    0.0000
  7( 113)  -46.690  5(   1)  -69.579 -22.890    0.0024    0.0000    0.0000    0.0000
