#TH1D
#Name: GlobalHist_0
#Parent pad: 1
#Yrange: 0, 66.5829
#Bins: 610
#Ylabel: Counts (per 1.0ns)
#Bin Center, Bin Content, Bin Error
236.5, 3, 1.73205
237.5, 4, 2
238.5, 4, 2
239.5, 6, 2.44949
240.5, 4, 2
241.5, 4, 2
242.5, 7, 2.64575
243.5, 13, 3.60555
244.5, 7, 2.64575
245.5, 3, 1.73205
246.5, 6, 2.44949
247.5, 4, 2
248.5, 2, 1.41421
249.5, 1, 1
250.5, 3, 1.73205
251.5, 3, 1.73205
252.5, 4, 2
253.5, 4, 2
254.5, 3, 1.73205
255.5, 4, 2
256.5, 4, 2
257.5, 5, 2.23607
258.5, 1, 1
259.5, 5, 2.23607
260.5, 8, 2.82843
261.5, 3, 1.73205
262.5, 6, 2.44949
263.5, 7, 2.64575
264.5, 4, 2
265.5, 6, 2.44949
266.5, 5, 2.23607
267.5, 3, 1.73205
268.5, 7, 2.64575
269.5, 2, 1.41421
270.5, 3, 1.73205
271.5, 7, 2.64575
272.5, 5, 2.23607
273.5, 4, 2
274.5, 6, 2.44949
275.5, 4, 2
276.5, 6, 2.44949
277.5, 5, 2.23607
278.5, 6, 2.44949
279.5, 3, 1.73205
280.5, 7, 2.64575
281.5, 5, 2.23607
282.5, 4, 2
283.5, 4, 2
284.5, 4, 2
285.5, 2, 1.41421
286.5, 3, 1.73205
287.5, 4, 2
288.5, 3, 1.73205
289.5, 2, 1.41421
290.5, 2, 1.41421
291.5, 2, 1.41421
292.5, 4, 2
293.5, 7, 2.64575
294.5, 3, 1.73205
295.5, 2, 1.41421
296.5, 0, 0
297.5, 5, 2.23607
298.5, 5, 2.23607
299.5, 3, 1.73205
300.5, 3, 1.73205
301.5, 2, 1.41421
302.5, 7, 2.64575
303.5, 4, 2
304.5, 3, 1.73205
305.5, 5, 2.23607
306.5, 3, 1.73205
307.5, 2, 1.41421
308.5, 0, 0
309.5, 3, 1.73205
310.5, 3, 1.73205
311.5, 4, 2
312.5, 5, 2.23607
313.5, 1, 1
314.5, 3, 1.73205
315.5, 3, 1.73205
316.5, 1, 1
317.5, 4, 2
318.5, 2, 1.41421
319.5, 6, 2.44949
320.5, 3, 1.73205
321.5, 4, 2
322.5, 5, 2.23607
323.5, 5, 2.23607
324.5, 2, 1.41421
325.5, 2, 1.41421
326.5, 4, 2
327.5, 2, 1.41421
328.5, 2, 1.41421
329.5, 4, 2
330.5, 3, 1.73205
331.5, 7, 2.64575
332.5, 6, 2.44949
333.5, 1, 1
334.5, 2, 1.41421
335.5, 3, 1.73205
336.5, 2, 1.41421
337.5, 0, 0
338.5, 3, 1.73205
339.5, 1, 1
340.5, 2, 1.41421
341.5, 3, 1.73205
342.5, 2, 1.41421
343.5, 3, 1.73205
344.5, 0, 0
345.5, 5, 2.23607
346.5, 0, 0
347.5, 5, 2.23607
348.5, 2, 1.41421
349.5, 0, 0
350.5, 3, 1.73205
351.5, 0, 0
352.5, 4, 2
353.5, 3, 1.73205
354.5, 7, 2.64575
355.5, 2, 1.41421
356.5, 3, 1.73205
357.5, 9, 3
358.5, 1, 1
359.5, 6, 2.44949
360.5, 4, 2
361.5, 2, 1.41421
362.5, 2, 1.41421
363.5, 1, 1
364.5, 3, 1.73205
365.5, 4, 2
366.5, 1, 1
367.5, 1, 1
368.5, 2, 1.41421
369.5, 3, 1.73205
370.5, 5, 2.23607
371.5, 2, 1.41421
372.5, 3, 1.73205
373.5, 2, 1.41421
374.5, 3, 1.73205
375.5, 2, 1.41421
376.5, 4, 2
377.5, 3, 1.73205
378.5, 3, 1.73205
379.5, 2, 1.41421
380.5, 3, 1.73205
381.5, 1, 1
382.5, 1, 1
383.5, 2, 1.41421
384.5, 2, 1.41421
385.5, 2, 1.41421
386.5, 5, 2.23607
387.5, 2, 1.41421
388.5, 1, 1
389.5, 4, 2
390.5, 2, 1.41421
391.5, 2, 1.41421
392.5, 3, 1.73205
393.5, 2, 1.41421
394.5, 3, 1.73205
395.5, 0, 0
396.5, 4, 2
397.5, 0, 0
398.5, 5, 2.23607
399.5, 4, 2
400.5, 3, 1.73205
401.5, 3, 1.73205
402.5, 4, 2
403.5, 8, 2.82843
404.5, 0, 0
405.5, 3, 1.73205
406.5, 8, 2.82843
407.5, 1, 1
408.5, 4, 2
409.5, 5, 2.23607
410.5, 1, 1
411.5, 6, 2.44949
412.5, 4, 2
413.5, 4, 2
414.5, 4, 2
415.5, 4, 2
416.5, 2, 1.41421
417.5, 2, 1.41421
418.5, 3, 1.73205
419.5, 4, 2
420.5, 2, 1.41421
421.5, 2, 1.41421
422.5, 6, 2.44949
423.5, 2, 1.41421
424.5, 3, 1.73205
425.5, 4, 2
426.5, 3, 1.73205
427.5, 4, 2
428.5, 2, 1.41421
429.5, 6, 2.44949
430.5, 3, 1.73205
431.5, 1, 1
432.5, 1, 1
433.5, 1, 1
434.5, 4, 2
435.5, 1, 1
436.5, 3, 1.73205
437.5, 4, 2
438.5, 1, 1
439.5, 1, 1
440.5, 3, 1.73205
441.5, 6, 2.44949
442.5, 4, 2
443.5, 1, 1
444.5, 3, 1.73205
445.5, 1, 1
446.5, 2, 1.41421
447.5, 2, 1.41421
448.5, 0, 0
449.5, 1, 1
450.5, 1, 1
451.5, 4, 2
452.5, 4, 2
453.5, 4, 2
454.5, 3, 1.73205
455.5, 2, 1.41421
456.5, 1, 1
457.5, 4, 2
458.5, 3, 1.73205
459.5, 3, 1.73205
460.5, 2, 1.41421
461.5, 2, 1.41421
462.5, 1, 1
463.5, 3, 1.73205
464.5, 1, 1
465.5, 4, 2
466.5, 2, 1.41421
467.5, 3, 1.73205
468.5, 6, 2.44949
469.5, 5, 2.23607
470.5, 2, 1.41421
471.5, 1, 1
472.5, 0, 0
473.5, 3, 1.73205
474.5, 3, 1.73205
475.5, 2, 1.41421
476.5, 0, 0
477.5, 2, 1.41421
478.5, 4, 2
479.5, 4, 2
480.5, 1, 1
481.5, 3, 1.73205
482.5, 0, 0
483.5, 1, 1
484.5, 2, 1.41421
485.5, 5, 2.23607
486.5, 1, 1
487.5, 2, 1.41421
488.5, 4, 2
489.5, 0, 0
490.5, 1, 1
491.5, 3, 1.73205
492.5, 2, 1.41421
493.5, 2, 1.41421
494.5, 2, 1.41421
495.5, 1, 1
496.5, 1, 1
497.5, 3, 1.73205
498.5, 3, 1.73205
499.5, 2, 1.41421
500.5, 2, 1.41421
501.5, 1, 1
502.5, 1, 1
503.5, 4, 2
504.5, 2, 1.41421
505.5, 3, 1.73205
506.5, 2, 1.41421
507.5, 1, 1
508.5, 3, 1.73205
509.5, 3, 1.73205
510.5, 0, 0
511.5, 0, 0
512.5, 0, 0
513.5, 3, 1.73205
514.5, 0, 0
515.5, 3, 1.73205
516.5, 1, 1
517.5, 5, 2.23607
518.5, 2, 1.41421
519.5, 2, 1.41421
520.5, 3, 1.73205
521.5, 1, 1
522.5, 2, 1.41421
523.5, 3, 1.73205
524.5, 4, 2
525.5, 2, 1.41421
526.5, 1, 1
527.5, 0, 0
528.5, 1, 1
529.5, 0, 0
530.5, 1, 1
531.5, 0, 0
532.5, 2, 1.41421
533.5, 2, 1.41421
534.5, 1, 1
535.5, 2, 1.41421
536.5, 2, 1.41421
537.5, 4, 2
538.5, 5, 2.23607
539.5, 1, 1
540.5, 5, 2.23607
541.5, 1, 1
542.5, 1, 1
543.5, 1, 1
544.5, 1, 1
545.5, 2, 1.41421
546.5, 1, 1
547.5, 0, 0
548.5, 2, 1.41421
549.5, 1, 1
550.5, 2, 1.41421
551.5, 3, 1.73205
552.5, 1, 1
553.5, 2, 1.41421
554.5, 2, 1.41421
555.5, 2, 1.41421
556.5, 5, 2.23607
557.5, 2, 1.41421
558.5, 3, 1.73205
559.5, 1, 1
560.5, 1, 1
561.5, 3, 1.73205
562.5, 1, 1
563.5, 0, 0
564.5, 1, 1
565.5, 0, 0
566.5, 1, 1
567.5, 0, 0
568.5, 1, 1
569.5, 0, 0
570.5, 4, 2
571.5, 1, 1
572.5, 3, 1.73205
573.5, 0, 0
574.5, 0, 0
575.5, 1, 1
576.5, 0, 0
577.5, 0, 0
578.5, 0, 0
579.5, 0, 0
580.5, 0, 0
581.5, 0, 0
582.5, 0, 0
583.5, 0, 0
584.5, 0, 0
585.5, 0, 0
586.5, 1, 1
587.5, 1, 1
588.5, 0, 0
589.5, 0, 0
590.5, 0, 0
591.5, 0, 0
592.5, 0, 0
593.5, 0, 0
594.5, 0, 0
595.5, 1, 1
596.5, 0, 0
597.5, 1, 1
598.5, 0, 0
