 2xJf      Ef      2xJi     Ei       Ex       Mred.    B(EM )->   B(EM)<-   Mom.
  5(  23)  -68.820  5(   1)  -69.579  -0.759   -1.7253    0.4961    0.4961    0.0000
  5(  24)  -66.857  5(   1)  -69.579  -2.722    1.3291    0.2944    0.2944    0.0000
  5(  25)  -64.767  5(   1)  -69.579  -4.812    0.9956    0.1652    0.1652    0.0000
  5(  26)  -62.584  5(   1)  -69.579  -6.995    0.8446    0.1189    0.1189    0.0000
  5(  27)  -60.333  5(   1)  -69.579  -9.246    0.7553    0.0951    0.0951    0.0000
  5(  28)  -57.988  5(   1)  -69.579 -11.591    0.8030    0.1075    0.1075    0.0000
  5(  29)  -55.796  5(   1)  -69.579 -13.783    0.6370    0.0676    0.0676    0.0000
  5(  30)  -53.400  5(   1)  -69.579 -16.179    0.5226    0.0455    0.0455    0.0000
  5(  31)  -50.834  5(   1)  -69.579 -18.745    0.4253    0.0302    0.0302    0.0000
  5(  32)  -48.253  5(   1)  -69.579 -21.326    0.3611    0.0217    0.0217    0.0000
  5(  33)  -45.597  5(   1)  -69.579 -23.982    0.2945    0.0145    0.0145    0.0000
  5(  34)  -42.844  5(   1)  -69.579 -26.735    0.2418    0.0097    0.0097    0.0000
  5(  35)  -40.001  5(   1)  -69.579 -29.578    0.1966    0.0064    0.0064    0.0000
  5(  36)  -37.159  5(   1)  -69.579 -32.420    0.1536    0.0039    0.0039    0.0000
  5(  37)  -34.159  5(   1)  -69.579 -35.420    0.1161    0.0022    0.0022    0.0000
  5(  38)  -31.106  5(   1)  -69.579 -38.473    0.0858    0.0012    0.0012    0.0000
  5(  39)  -27.918  5(   1)  -69.579 -41.661    0.0595    0.0006    0.0006    0.0000
  5(  40)  -24.683  5(   1)  -69.579 -44.896    0.0416    0.0003    0.0003    0.0000
  5(  41)  -21.323  5(   1)  -69.579 -48.256    0.0288    0.0001    0.0001    0.0000
  5(  42)  -18.077  5(   1)  -69.579 -51.502    0.0187    0.0001    0.0001    0.0000
  5(  43)  -20.481  5(   1)  -69.579 -49.098    0.0123    0.0000    0.0000    0.0000
  5(  44)  -32.350  5(   1)  -69.579 -37.229    0.0103    0.0000    0.0000    0.0000
  5(  45)  -46.342  5(   1)  -69.579 -23.237    0.0166    0.0000    0.0000    0.0000
  5(  46)  -47.845  5(   1)  -69.579 -21.734    0.0198    0.0001    0.0001    0.0000
  5(  47)  -48.217  5(   1)  -69.579 -21.362    0.0242    0.0001    0.0001    0.0000
  5(  48)  -48.211  5(   1)  -69.579 -21.368    0.0281    0.0001    0.0001    0.0000
  5(  49)  -47.422  5(   1)  -69.579 -22.158    0.0292    0.0001    0.0001    0.0000
  5(  50)  -46.001  5(   1)  -69.579 -23.578    0.0297    0.0001    0.0001    0.0000
  5(  51)  -44.798  5(   1)  -69.579 -24.782    0.0282    0.0001    0.0001    0.0000
  5(  52)  -43.242  5(   1)  -69.579 -26.337    0.0273    0.0001    0.0001    0.0000
  5(  53)  -41.961  5(   1)  -69.579 -27.618    0.0266    0.0001    0.0001    0.0000
  5(  54)  -40.819  5(   1)  -69.579 -28.760    0.0256    0.0001    0.0001    0.0000
  5(  55)  -40.022  5(   1)  -69.579 -29.557    0.0246    0.0001    0.0001    0.0000
  5(  56)  -39.737  5(   1)  -69.579 -29.842    0.0242    0.0001    0.0001    0.0000
  5(  57)  -39.685  5(   1)  -69.579 -29.894    0.0244    0.0001    0.0001    0.0000
  5(  58)  -39.590  5(   1)  -69.579 -29.990    0.0243    0.0001    0.0001    0.0000
  5(  59)  -41.258  5(   1)  -69.579 -28.321    0.0260    0.0001    0.0001    0.0000
  5(  60)  -43.001  5(   1)  -69.579 -26.578    0.0272    0.0001    0.0001    0.0000
  5(  61)  -42.222  5(   1)  -69.579 -27.358    0.0247    0.0001    0.0001    0.0000
  5(  62)  -42.165  5(   1)  -69.579 -27.414    0.0236    0.0001    0.0001    0.0000
  5(  63)  -43.418  5(   1)  -69.579 -26.162    0.0241    0.0001    0.0001    0.0000
  5(  64)  -42.732  5(   1)  -69.579 -26.847    0.0228    0.0001    0.0001    0.0000
  5(  65)  -42.905  5(   1)  -69.579 -26.674    0.0217    0.0001    0.0001    0.0000
  5(  66)  -42.563  5(   1)  -69.579 -27.016    0.0206    0.0001    0.0001    0.0000
  5(  67)  -42.188  5(   1)  -69.579 -27.391    0.0201    0.0001    0.0001    0.0000
  5(  68)  -42.648  5(   1)  -69.579 -26.931    0.0201    0.0001    0.0001    0.0000
  5(  69)  -42.531  5(   1)  -69.579 -27.048    0.0197    0.0001    0.0001    0.0000
  5(  70)  -43.201  5(   1)  -69.579 -26.378    0.0192    0.0001    0.0001    0.0000
  5(  71)  -43.488  5(   1)  -69.579 -26.091    0.0188    0.0001    0.0001    0.0000
  5(  72)  -43.857  5(   1)  -69.579 -25.723    0.0182    0.0001    0.0001    0.0000
  5(  73)  -44.939  5(   1)  -69.579 -24.640    0.0184    0.0001    0.0001    0.0000
  5(  74)  -44.993  5(   1)  -69.579 -24.586    0.0185    0.0001    0.0001    0.0000
  5(  75)  -44.206  5(   1)  -69.579 -25.373    0.0184    0.0001    0.0001    0.0000
  5(  76)  -43.153  5(   1)  -69.579 -26.426    0.0177    0.0001    0.0001    0.0000
  5(  77)  -42.115  5(   1)  -69.579 -27.464    0.0158    0.0000    0.0000    0.0000
  5(  78)  -41.338  5(   1)  -69.579 -28.241    0.0141    0.0000    0.0000    0.0000
  5(  79)  -40.700  5(   1)  -69.579 -28.879    0.0132    0.0000    0.0000    0.0000
  5(  80)  -40.000  5(   1)  -69.579 -29.579    0.0120    0.0000    0.0000    0.0000
  5(  81)  -38.437  5(   1)  -69.579 -31.142    0.0101    0.0000    0.0000    0.0000
  5(  82)  -36.609  5(   1)  -69.579 -32.970    0.0077    0.0000    0.0000    0.0000
  5(  83)  -36.168  5(   1)  -69.579 -33.411    0.0059    0.0000    0.0000    0.0000
  5(  84)  -38.000  5(   1)  -69.579 -31.579    0.0048    0.0000    0.0000    0.0000
  5(  85)  -41.029  5(   1)  -69.579 -28.550    0.0041    0.0000    0.0000    0.0000
  5(  86)  -43.172  5(   1)  -69.579 -26.407    0.0043    0.0000    0.0000    0.0000
  5(  87)  -43.186  5(   1)  -69.579 -26.393    0.0044    0.0000    0.0000    0.0000
  5(  88)  -43.358  5(   1)  -69.579 -26.221    0.0045    0.0000    0.0000    0.0000
  5(  89)  -42.832  5(   1)  -69.579 -26.747    0.0046    0.0000    0.0000    0.0000
  5(  90)  -42.102  5(   1)  -69.579 -27.477    0.0043    0.0000    0.0000    0.0000
  5(  91)  -42.028  5(   1)  -69.579 -27.551    0.0039    0.0000    0.0000    0.0000
  5(  92)  -41.818  5(   1)  -69.579 -27.761    0.0036    0.0000    0.0000    0.0000
  5(  93)  -41.686  5(   1)  -69.579 -27.893    0.0036    0.0000    0.0000    0.0000
  5(  94)  -41.967  5(   1)  -69.579 -27.612    0.0037    0.0000    0.0000    0.0000
  5(  95)  -42.836  5(   1)  -69.579 -26.743    0.0037    0.0000    0.0000    0.0000
  5(  96)  -44.451  5(   1)  -69.579 -25.128    0.0039    0.0000    0.0000    0.0000
  5(  97)  -42.103  5(   1)  -69.579 -27.476    0.0035    0.0000    0.0000    0.0000
  5(  98)  -41.989  5(   1)  -69.579 -27.590    0.0031    0.0000    0.0000    0.0000
  5(  99)  -43.325  5(   1)  -69.579 -26.255    0.0033    0.0000    0.0000    0.0000
  5( 100)  -43.465  5(   1)  -69.579 -26.114    0.0033    0.0000    0.0000    0.0000
  5( 101)  -42.712  5(   1)  -69.579 -26.867    0.0031    0.0000    0.0000    0.0000
  5( 102)  -41.340  5(   1)  -69.579 -28.239    0.0032    0.0000    0.0000    0.0000
  5( 103)  -42.650  5(   1)  -69.579 -26.929    0.0032    0.0000    0.0000    0.0000
  5( 104)  -44.344  5(   1)  -69.579 -25.235    0.0040    0.0000    0.0000    0.0000
  5( 105)  -44.936  5(   1)  -69.579 -24.643    0.0045    0.0000    0.0000    0.0000
  5( 106)  -40.409  5(   1)  -69.579 -29.170    0.0029    0.0000    0.0000    0.0000
  5( 107)  -44.132  5(   1)  -69.579 -25.447    0.0029    0.0000    0.0000    0.0000
  5( 108)  -43.261  5(   1)  -69.579 -26.318    0.0031    0.0000    0.0000    0.0000
  5( 109)  -43.645  5(   1)  -69.579 -25.934    0.0031    0.0000    0.0000    0.0000
  5( 110)  -42.423  5(   1)  -69.579 -27.156    0.0020    0.0000    0.0000    0.0000
  5( 111)  -42.170  5(   1)  -69.579 -27.409    0.0013    0.0000    0.0000    0.0000
  5( 112)  -42.775  5(   1)  -69.579 -26.804    0.0011    0.0000    0.0000    0.0000
  5( 113)  -43.348  5(   1)  -69.579 -26.231    0.0010    0.0000    0.0000    0.0000
  5( 114)  -46.741  5(   1)  -69.579 -22.838    0.0012    0.0000    0.0000    0.0000
  5( 115)  -48.048  5(   1)  -69.579 -21.531    0.0011    0.0000    0.0000    0.0000
  5( 116)  -45.460  5(   1)  -69.579 -24.119    0.0007    0.0000    0.0000    0.0000
  5( 117)  -47.305  5(   1)  -69.579 -22.274    0.0006    0.0000    0.0000    0.0000
  5( 118)  -44.955  5(   1)  -69.579 -24.624    0.0005    0.0000    0.0000    0.0000
  5( 119)  -43.460  5(   1)  -69.579 -26.119    0.0006    0.0000    0.0000    0.0000
  5( 120)  -45.098  5(   1)  -69.579 -24.482    0.0005    0.0000    0.0000    0.0000
  5( 121)  -45.913  5(   1)  -69.579 -23.666    0.0005    0.0000    0.0000    0.0000
  5( 122)  -44.623  5(   1)  -69.579 -24.956    0.0004    0.0000    0.0000    0.0000
  5( 123)  -45.434  5(   1)  -69.579 -24.145    0.0004    0.0000    0.0000    0.0000
  5( 124)  -46.415  5(   1)  -69.579 -23.164    0.0005    0.0000    0.0000    0.0000
  5( 125)  -46.911  5(   1)  -69.579 -22.669    0.0004    0.0000    0.0000    0.0000
  5( 126)  -43.663  5(   1)  -69.579 -25.916    0.0004    0.0000    0.0000    0.0000
  5( 127)  -44.417  5(   1)  -69.579 -25.162    0.0004    0.0000    0.0000    0.0000
  5( 128)  -46.994  5(   1)  -69.579 -22.585    0.0004    0.0000    0.0000    0.0000
  5( 129)  -46.736  5(   1)  -69.579 -22.843    0.0004    0.0000    0.0000    0.0000
  5( 130)  -46.010  5(   1)  -69.579 -23.570    0.0003    0.0000    0.0000    0.0000
  5( 131)  -52.931  5(   1)  -69.579 -16.648    0.0005    0.0000    0.0000    0.0000
  5( 132)  -49.365  5(   1)  -69.579 -20.214    0.0004    0.0000    0.0000    0.0000
  5( 133)  -48.184  5(   1)  -69.579 -21.395    0.0003    0.0000    0.0000    0.0000
  5( 134)  -47.981  5(   1)  -69.579 -21.598    0.0003    0.0000    0.0000    0.0000
  5( 135)  -48.119  5(   1)  -69.579 -21.461    0.0003    0.0000    0.0000    0.0000
  5( 136)  -45.590  5(   1)  -69.579 -23.989    0.0003    0.0000    0.0000    0.0000
  5( 137)  -47.775  5(   1)  -69.579 -21.805    0.0002    0.0000    0.0000    0.0000
  5( 138)  -48.569  5(   1)  -69.579 -21.010    0.0002    0.0000    0.0000    0.0000
  5( 139)  -48.687  5(   1)  -69.579 -20.892    0.0002    0.0000    0.0000    0.0000
  5( 140)  -49.472  5(   1)  -69.579 -20.107    0.0002    0.0000    0.0000    0.0000
  5( 141)  -50.946  5(   1)  -69.579 -18.633    0.0002    0.0000    0.0000    0.0000
  5( 142)  -48.008  5(   1)  -69.579 -21.571    0.0001    0.0000    0.0000    0.0000
  5( 143)  -52.186  5(   1)  -69.579 -17.393    0.0001    0.0000    0.0000    0.0000
  5( 144)  -51.359  5(   1)  -69.579 -18.220    0.0001    0.0000    0.0000    0.0000
  5( 145)  -50.514  5(   1)  -69.579 -19.065    0.0001    0.0000    0.0000    0.0000
  5( 146)  -53.263  5(   1)  -69.579 -16.317    0.0001    0.0000    0.0000    0.0000
  5( 147)  -50.993  5(   1)  -69.579 -18.586    0.0001    0.0000    0.0000    0.0000
  5( 148)  -49.925  5(   1)  -69.579 -19.654    0.0001    0.0000    0.0000    0.0000
  5( 149)  -47.456  5(   1)  -69.579 -22.123    0.0001    0.0000    0.0000    0.0000
  5( 150)  -48.139  5(   1)  -69.579 -21.440    0.0001    0.0000    0.0000    0.0000
  5( 151)  -46.401  5(   1)  -69.579 -23.178    0.0001    0.0000    0.0000    0.0000
  5( 152)  -47.509  5(   1)  -69.579 -22.070    0.0001    0.0000    0.0000    0.0000
  5( 153)  -46.988  5(   1)  -69.579 -22.591    0.0001    0.0000    0.0000    0.0000
  5( 154)  -49.332  5(   1)  -69.579 -20.247    0.0001    0.0000    0.0000    0.0000
  5( 155)  -46.806  5(   1)  -69.579 -22.773    0.0000    0.0000    0.0000    0.0000
  5( 156)  -48.357  5(   1)  -69.579 -21.222    0.0001    0.0000    0.0000    0.0000
  5( 157)  -42.791  5(   1)  -69.579 -26.788    0.0002    0.0000    0.0000    0.0000
  5( 158)  -45.309  5(   1)  -69.579 -24.270    0.0001    0.0000    0.0000    0.0000
  5( 159)  -47.228  5(   1)  -69.579 -22.351    0.0001    0.0000    0.0000    0.0000
  5( 160)  -49.278  5(   1)  -69.579 -20.301    0.0001    0.0000    0.0000    0.0000
  5( 161)  -48.763  5(   1)  -69.579 -20.816    0.0001    0.0000    0.0000    0.0000
  5( 162)  -49.910  5(   1)  -69.579 -19.669    0.0000    0.0000    0.0000    0.0000
  5( 163)  -50.873  5(   1)  -69.579 -18.707    0.0000    0.0000    0.0000    0.0000
  5( 164)  -50.633  5(   1)  -69.579 -18.946    0.0001    0.0000    0.0000    0.0000
  5( 165)  -48.369  5(   1)  -69.579 -21.210    0.0001    0.0000    0.0000    0.0000
  5( 166)  -43.762  5(   1)  -69.579 -25.817    0.0001    0.0000    0.0000    0.0000
  5( 167)  -47.915  5(   1)  -69.579 -21.664    0.0001    0.0000    0.0000    0.0000
  5( 168)  -47.829  5(   1)  -69.579 -21.750    0.0000    0.0000    0.0000    0.0000
  5( 169)  -49.592  5(   1)  -69.579 -19.987    0.0000    0.0000    0.0000    0.0000
  5( 170)  -50.804  5(   1)  -69.579 -18.775    0.0000    0.0000    0.0000    0.0000
  5( 171)  -48.346  5(   1)  -69.579 -21.233    0.0000    0.0000    0.0000    0.0000
  5( 172)  -46.761  5(   1)  -69.579 -22.819    0.0000    0.0000    0.0000    0.0000
  5( 173)  -56.520  5(   1)  -69.579 -13.059    0.0000    0.0000    0.0000    0.0000
  5( 174)  -55.053  5(   1)  -69.579 -14.526    0.0001    0.0000    0.0000    0.0000
  5( 175)  -52.019  5(   1)  -69.579 -17.560    0.0001    0.0000    0.0000    0.0000
  5( 176)  -50.588  5(   1)  -69.579 -18.992    0.0001    0.0000    0.0000    0.0000
  5( 177)  -49.372  5(   1)  -69.579 -20.208    0.0000    0.0000    0.0000    0.0000
  5( 178)  -47.913  5(   1)  -69.579 -21.666    0.0000    0.0000    0.0000    0.0000
  5( 179)  -45.323  5(   1)  -69.579 -24.256    0.0000    0.0000    0.0000    0.0000
  5( 180)  -42.371  5(   1)  -69.579 -27.208    0.0000    0.0000    0.0000    0.0000
  5( 181)  -40.158  5(   1)  -69.579 -29.421    0.0000    0.0000    0.0000    0.0000
  5( 182)  -37.084  5(   1)  -69.579 -32.495    0.0000    0.0000    0.0000    0.0000
  5( 183)  -56.086  5(   1)  -69.579 -13.493    0.0000    0.0000    0.0000    0.0000
  5( 184)  -55.599  5(   1)  -69.579 -13.980    0.0000    0.0000    0.0000    0.0000
  5( 185)  -55.094  5(   1)  -69.579 -14.485    0.0000    0.0000    0.0000    0.0000
  5( 186)  -53.535  5(   1)  -69.579 -16.044    0.0000    0.0000    0.0000    0.0000
  5( 187)  -54.759  5(   1)  -69.579 -14.820    0.0000    0.0000    0.0000    0.0000
  5( 188)  -54.659  5(   1)  -69.579 -14.920    0.0000    0.0000    0.0000    0.0000
  5( 189)  -53.545  5(   1)  -69.579 -16.034    0.0000    0.0000    0.0000    0.0000
  5( 190)  -52.752  5(   1)  -69.579 -16.827    0.0000    0.0000    0.0000    0.0000
  5( 191)  -51.701  5(   1)  -69.579 -17.878    0.0000    0.0000    0.0000    0.0000
  5( 192)  -51.306  5(   1)  -69.579 -18.273    0.0000    0.0000    0.0000    0.0000
  5( 193)  -50.954  5(   1)  -69.579 -18.625    0.0000    0.0000    0.0000    0.0000
  5( 194)  -50.325  5(   1)  -69.579 -19.254   -0.0000    0.0000    0.0000    0.0000
  5( 195)  -49.802  5(   1)  -69.579 -19.777    0.0000    0.0000    0.0000    0.0000
  5( 196)  -49.204  5(   1)  -69.579 -20.376    0.0000    0.0000    0.0000    0.0000
  5( 197)  -48.375  5(   1)  -69.579 -21.204    0.0000    0.0000    0.0000    0.0000
  5( 198)  -60.915  5(   1)  -69.579  -8.664    0.0000    0.0000    0.0000    0.0000
  5( 199)  -56.938  5(   1)  -69.579 -12.641    0.0000    0.0000    0.0000    0.0000
  5( 200)  -55.812  5(   1)  -69.579 -13.767   -0.0000    0.0000    0.0000    0.0000
