 2xJf      Ef      2xJi     Ei       Ex       Mred.    B(EM )->   B(EM)<-   Mom.
  5(   1)  -91.698  5(   1)  -69.579  22.119    0.2504    0.0104    0.0104    0.0000
  5(   2)  -91.070  5(   1)  -69.579  21.491    0.1908    0.0061    0.0061    0.0000
  5(   3)  -90.455  5(   1)  -69.579  20.876    0.6508    0.0706    0.0706    0.0000
  5(   4)  -89.910  5(   1)  -69.579  20.331    0.0453    0.0003    0.0003    0.0000
  5(   5)  -89.372  5(   1)  -69.579  19.793   -0.3701    0.0228    0.0228    0.0000
  5(   6)  -89.046  5(   1)  -69.579  19.467    0.7030    0.0824    0.0824    0.0000
  5(   7)  -88.418  5(   1)  -69.579  18.839    1.3973    0.3254    0.3254    0.0000
  5(   8)  -88.161  5(   1)  -69.579  18.582    0.6715    0.0752    0.0752    0.0000
  5(   9)  -86.885  5(   1)  -69.579  17.305    0.7945    0.1052    0.1052    0.0000
  5(  10)  -86.362  5(   1)  -69.579  16.783    0.7298    0.0888    0.0888    0.0000
  5(  11)  -85.305  5(   1)  -69.579  15.726   -0.6603    0.0727    0.0727    0.0000
  5(  12)  -84.325  5(   1)  -69.579  14.746   -0.9898    0.1633    0.1633    0.0000
  5(  13)  -83.445  5(   1)  -69.579  13.865   -1.2017    0.2407    0.2407    0.0000
  5(  14)  -82.323  5(   1)  -69.579  12.744    1.0850    0.1962    0.1962    0.0000
  5(  15)  -81.091  5(   1)  -69.579  11.512    0.9078    0.1373    0.1373    0.0000
  5(  16)  -79.594  5(   1)  -69.579  10.015    0.8849    0.1305    0.1305    0.0000
  5(  17)  -78.050  5(   1)  -69.579   8.471   -1.1229    0.2101    0.2101    0.0000
  5(  18)  -76.485  5(   1)  -69.579   6.906   -1.6058    0.4297    0.4297    0.0000
  5(  19)  -74.949  5(   1)  -69.579   5.370    2.5845    1.1133    1.1133    0.0000
  5(  20)  -73.490  5(   1)  -69.579   3.911   -4.2594    3.0237    3.0237    0.0000
  5(  21)  -72.226  5(   1)  -69.579   2.647    3.8863    2.5173    2.5173    0.0000
  5(  22)  -70.579  5(   1)  -69.579   1.000    2.3240    0.9002    0.9002    0.0000
