 2xJf      Ef      2xJi     Ei       Ex       Mred.    B(EM )->   B(EM)<-   Mom.
  3(  51)  -44.921  5(   1)  -69.579 -24.658    0.0223    0.0001    0.0001    0.0000
  3(  52)  -43.683  5(   1)  -69.579 -25.896    0.0219    0.0001    0.0001    0.0000
  3(  53)  -42.395  5(   1)  -69.579 -27.185    0.0212    0.0001    0.0001    0.0000
  3(  54)  -41.500  5(   1)  -69.579 -28.079    0.0207    0.0001    0.0001    0.0000
  3(  55)  -40.660  5(   1)  -69.579 -28.920    0.0200    0.0001    0.0001    0.0000
  3(  56)  -40.062  5(   1)  -69.579 -29.517    0.0195    0.0001    0.0001    0.0000
  3(  57)  -40.305  5(   1)  -69.579 -29.274    0.0199    0.0001    0.0001    0.0000
  3(  58)  -40.103  5(   1)  -69.579 -29.476    0.0200    0.0001    0.0001    0.0000
  3(  59)  -41.341  5(   1)  -69.579 -28.239    0.0209    0.0001    0.0001    0.0000
  3(  60)  -41.990  5(   1)  -69.579 -27.589    0.0212    0.0001    0.0001    0.0000
  3(  61)  -41.895  5(   1)  -69.579 -27.684    0.0198    0.0001    0.0001    0.0000
  3(  62)  -42.360  5(   1)  -69.579 -27.220    0.0189    0.0001    0.0001    0.0000
  3(  63)  -42.595  5(   1)  -69.579 -26.984    0.0183    0.0001    0.0001    0.0000
  3(  64)  -42.725  5(   1)  -69.579 -26.854    0.0178    0.0001    0.0001    0.0000
  3(  65)  -43.005  5(   1)  -69.579 -26.574    0.0171    0.0001    0.0000    0.0000
  3(  66)  -42.890  5(   1)  -69.579 -26.689    0.0166    0.0001    0.0000    0.0000
  3(  67)  -42.644  5(   1)  -69.579 -26.935    0.0162    0.0001    0.0000    0.0000
  3(  68)  -42.731  5(   1)  -69.579 -26.848    0.0160    0.0001    0.0000    0.0000
  3(  69)  -42.713  5(   1)  -69.579 -26.867    0.0156    0.0001    0.0000    0.0000
  3(  70)  -42.622  5(   1)  -69.579 -26.957    0.0150    0.0001    0.0000    0.0000
  3(  71)  -43.339  5(   1)  -69.579 -26.240    0.0145    0.0001    0.0000    0.0000
  3(  72)  -43.477  5(   1)  -69.579 -26.102    0.0142    0.0001    0.0000    0.0000
  3(  73)  -44.104  5(   1)  -69.579 -25.475    0.0141    0.0000    0.0000    0.0000
  3(  74)  -44.409  5(   1)  -69.579 -25.170    0.0143    0.0001    0.0000    0.0000
  3(  75)  -43.958  5(   1)  -69.579 -25.621    0.0145    0.0001    0.0000    0.0000
  3(  76)  -43.152  5(   1)  -69.579 -26.428    0.0135    0.0000    0.0000    0.0000
  3(  77)  -42.737  5(   1)  -69.579 -26.842    0.0126    0.0000    0.0000    0.0000
  3(  78)  -42.109  5(   1)  -69.579 -27.470    0.0118    0.0000    0.0000    0.0000
  3(  79)  -41.675  5(   1)  -69.579 -27.904    0.0112    0.0000    0.0000    0.0000
  3(  80)  -40.895  5(   1)  -69.579 -28.684    0.0104    0.0000    0.0000    0.0000
  3(  81)  -39.723  5(   1)  -69.579 -29.857    0.0091    0.0000    0.0000    0.0000
  3(  82)  -37.795  5(   1)  -69.579 -31.784    0.0071    0.0000    0.0000    0.0000
  3(  83)  -36.956  5(   1)  -69.579 -32.623    0.0053    0.0000    0.0000    0.0000
  3(  84)  -37.235  5(   1)  -69.579 -32.344    0.0041    0.0000    0.0000    0.0000
  3(  85)  -39.186  5(   1)  -69.579 -30.393    0.0034    0.0000    0.0000    0.0000
  3(  86)  -42.818  5(   1)  -69.579 -26.761    0.0034    0.0000    0.0000    0.0000
  3(  87)  -43.252  5(   1)  -69.579 -26.328    0.0035    0.0000    0.0000    0.0000
  3(  88)  -44.748  5(   1)  -69.579 -24.831    0.0037    0.0000    0.0000    0.0000
  3(  89)  -44.279  5(   1)  -69.579 -25.300    0.0036    0.0000    0.0000    0.0000
  3(  90)  -42.885  5(   1)  -69.579 -26.694    0.0033    0.0000    0.0000    0.0000
  3(  91)  -42.172  5(   1)  -69.579 -27.408    0.0029    0.0000    0.0000    0.0000
  3(  92)  -42.065  5(   1)  -69.579 -27.514    0.0027    0.0000    0.0000    0.0000
  3(  93)  -42.186  5(   1)  -69.579 -27.393    0.0026    0.0000    0.0000    0.0000
  3(  94)  -42.582  5(   1)  -69.579 -26.997    0.0027    0.0000    0.0000    0.0000
  3(  95)  -42.458  5(   1)  -69.579 -27.121    0.0026    0.0000    0.0000    0.0000
  3(  96)  -44.146  5(   1)  -69.579 -25.433    0.0027    0.0000    0.0000    0.0000
  3(  97)  -42.610  5(   1)  -69.579 -26.969    0.0026    0.0000    0.0000    0.0000
  3(  98)  -41.875  5(   1)  -69.579 -27.704    0.0023    0.0000    0.0000    0.0000
  3(  99)  -42.545  5(   1)  -69.579 -27.034    0.0022    0.0000    0.0000    0.0000
  3( 100)  -43.843  5(   1)  -69.579 -25.736    0.0023    0.0000    0.0000    0.0000
  3( 101)  -42.926  5(   1)  -69.579 -26.653    0.0021    0.0000    0.0000    0.0000
  3( 102)  -41.624  5(   1)  -69.579 -27.955    0.0020    0.0000    0.0000    0.0000
  3( 103)  -42.932  5(   1)  -69.579 -26.647    0.0020    0.0000    0.0000    0.0000
  3( 104)  -43.910  5(   1)  -69.579 -25.669    0.0021    0.0000    0.0000    0.0000
  3( 105)  -43.046  5(   1)  -69.579 -26.533    0.0025    0.0000    0.0000    0.0000
  3( 106)  -42.260  5(   1)  -69.579 -27.319    0.0026    0.0000    0.0000    0.0000
  3( 107)  -42.070  5(   1)  -69.579 -27.509    0.0021    0.0000    0.0000    0.0000
  3( 108)  -43.144  5(   1)  -69.579 -26.435    0.0024    0.0000    0.0000    0.0000
  3( 109)  -45.173  5(   1)  -69.579 -24.406    0.0029    0.0000    0.0000    0.0000
  3( 110)  -41.456  5(   1)  -69.579 -28.123    0.0021    0.0000    0.0000    0.0000
  3( 111)  -42.177  5(   1)  -69.579 -27.402    0.0014    0.0000    0.0000    0.0000
  3( 112)  -41.537  5(   1)  -69.579 -28.042    0.0011    0.0000    0.0000    0.0000
  3( 113)  -43.554  5(   1)  -69.579 -26.025    0.0013    0.0000    0.0000    0.0000
  3( 114)  -49.412  5(   1)  -69.579 -20.167    0.0017    0.0000    0.0000    0.0000
  3( 115)  -44.875  5(   1)  -69.579 -24.704    0.0013    0.0000    0.0000    0.0000
  3( 116)  -48.719  5(   1)  -69.579 -20.861    0.0009    0.0000    0.0000    0.0000
  3( 117)  -44.177  5(   1)  -69.579 -25.402    0.0005    0.0000    0.0000    0.0000
  3( 118)  -45.743  5(   1)  -69.579 -23.837    0.0004    0.0000    0.0000    0.0000
  3( 119)  -42.276  5(   1)  -69.579 -27.303    0.0004    0.0000    0.0000    0.0000
  3( 120)  -40.916  5(   1)  -69.579 -28.663    0.0005    0.0000    0.0000    0.0000
  3( 121)  -44.925  5(   1)  -69.579 -24.654    0.0004    0.0000    0.0000    0.0000
  3( 122)  -45.106  5(   1)  -69.579 -24.473    0.0003    0.0000    0.0000    0.0000
  3( 123)  -44.741  5(   1)  -69.579 -24.838    0.0003    0.0000    0.0000    0.0000
  3( 124)  -45.483  5(   1)  -69.579 -24.096    0.0003    0.0000    0.0000    0.0000
  3( 125)  -47.860  5(   1)  -69.579 -21.719    0.0003    0.0000    0.0000    0.0000
  3( 126)  -45.706  5(   1)  -69.579 -23.873    0.0003    0.0000    0.0000    0.0000
  3( 127)  -44.013  5(   1)  -69.579 -25.566    0.0003    0.0000    0.0000    0.0000
  3( 128)  -43.970  5(   1)  -69.579 -25.610    0.0003    0.0000    0.0000    0.0000
  3( 129)  -45.734  5(   1)  -69.579 -23.846    0.0003    0.0000    0.0000    0.0000
  3( 130)  -45.343  5(   1)  -69.579 -24.236    0.0003    0.0000    0.0000    0.0000
  3( 131)  -47.951  5(   1)  -69.579 -21.628    0.0003    0.0000    0.0000    0.0000
  3( 132)  -51.305  5(   1)  -69.579 -18.274    0.0003    0.0000    0.0000    0.0000
  3( 133)  -49.456  5(   1)  -69.579 -20.123    0.0003    0.0000    0.0000    0.0000
  3( 134)  -45.081  5(   1)  -69.579 -24.498    0.0002    0.0000    0.0000    0.0000
  3( 135)  -45.735  5(   1)  -69.579 -23.844    0.0002    0.0000    0.0000    0.0000
  3( 136)  -46.616  5(   1)  -69.579 -22.963    0.0002    0.0000    0.0000    0.0000
  3( 137)  -44.674  5(   1)  -69.579 -24.906    0.0002    0.0000    0.0000    0.0000
  3( 138)  -49.006  5(   1)  -69.579 -20.573    0.0002    0.0000    0.0000    0.0000
  3( 139)  -48.318  5(   1)  -69.579 -21.261    0.0001    0.0000    0.0000    0.0000
  3( 140)  -47.482  5(   1)  -69.579 -22.097    0.0001    0.0000    0.0000    0.0000
  3( 141)  -50.732  5(   1)  -69.579 -18.847    0.0001    0.0000    0.0000    0.0000
  3( 142)  -50.889  5(   1)  -69.579 -18.690    0.0001    0.0000    0.0000    0.0000
  3( 143)  -47.713  5(   1)  -69.579 -21.866    0.0001    0.0000    0.0000    0.0000
  3( 144)  -50.529  5(   1)  -69.579 -19.050    0.0001    0.0000    0.0000    0.0000
  3( 145)  -50.342  5(   1)  -69.579 -19.237    0.0001    0.0000    0.0000    0.0000
  3( 146)  -49.410  5(   1)  -69.579 -20.169    0.0000    0.0000    0.0000    0.0000
  3( 147)  -52.238  5(   1)  -69.579 -17.341    0.0000    0.0000    0.0000    0.0000
  3( 148)  -52.666  5(   1)  -69.579 -16.913    0.0000    0.0000    0.0000    0.0000
  3( 149)  -49.886  5(   1)  -69.579 -19.693    0.0000    0.0000    0.0000    0.0000
  3( 150)  -47.033  5(   1)  -69.579 -22.546    0.0000    0.0000    0.0000    0.0000
  3( 151)  -47.086  5(   1)  -69.579 -22.494    0.0001    0.0000    0.0000    0.0000
  3( 152)  -45.573  5(   1)  -69.579 -24.006    0.0000    0.0000    0.0000    0.0000
  3( 153)  -47.407  5(   1)  -69.579 -22.173    0.0000    0.0000    0.0000    0.0000
  3( 154)  -46.018  5(   1)  -69.579 -23.562    0.0001    0.0000    0.0000    0.0000
  3( 155)  -48.900  5(   1)  -69.579 -20.680    0.0000    0.0000    0.0000    0.0000
  3( 156)  -47.103  5(   1)  -69.579 -22.476    0.0000    0.0000    0.0000    0.0000
  3( 157)  -48.164  5(   1)  -69.579 -21.415    0.0000    0.0000    0.0000    0.0000
  3( 158)  -43.521  5(   1)  -69.579 -26.058    0.0000    0.0000    0.0000    0.0000
  3( 159)  -42.246  5(   1)  -69.579 -27.333    0.0001    0.0000    0.0000    0.0000
  3( 160)  -44.966  5(   1)  -69.579 -24.613    0.0000    0.0000    0.0000    0.0000
  3( 161)  -49.385  5(   1)  -69.579 -20.194    0.0001    0.0000    0.0000    0.0000
  3( 162)  -48.458  5(   1)  -69.579 -21.121    0.0001    0.0000    0.0000    0.0000
  3( 163)  -48.875  5(   1)  -69.579 -20.705    0.0000    0.0000    0.0000    0.0000
  3( 164)  -49.634  5(   1)  -69.579 -19.945    0.0000    0.0000    0.0000    0.0000
  3( 165)  -49.572  5(   1)  -69.579 -20.007    0.0000    0.0000    0.0000    0.0000
  3( 166)  -49.672  5(   1)  -69.579 -19.907    0.0000    0.0000    0.0000    0.0000
  3( 167)  -45.889  5(   1)  -69.579 -23.690    0.0001    0.0000    0.0000    0.0000
  3( 168)  -44.616  5(   1)  -69.579 -24.963    0.0001    0.0000    0.0000    0.0000
  3( 169)  -47.165  5(   1)  -69.579 -22.415    0.0001    0.0000    0.0000    0.0000
  3( 170)  -45.740  5(   1)  -69.579 -23.839    0.0001    0.0000    0.0000    0.0000
  3( 171)  -45.979  5(   1)  -69.579 -23.600    0.0000    0.0000    0.0000    0.0000
  3( 172)  -49.848  5(   1)  -69.579 -19.732    0.0000    0.0000    0.0000    0.0000
  3( 173)  -49.154  5(   1)  -69.579 -20.425    0.0000    0.0000    0.0000    0.0000
  3( 174)  -48.628  5(   1)  -69.579 -20.951    0.0000    0.0000    0.0000    0.0000
  3( 175)  -56.555  5(   1)  -69.579 -13.024    0.0000    0.0000    0.0000    0.0000
  3( 176)  -54.853  5(   1)  -69.579 -14.726    0.0000    0.0000    0.0000    0.0000
  3( 177)  -52.180  5(   1)  -69.579 -17.399    0.0000    0.0000    0.0000    0.0000
  3( 178)  -51.424  5(   1)  -69.579 -18.155    0.0000    0.0000    0.0000    0.0000
  3( 179)  -49.909  5(   1)  -69.579 -19.670    0.0001    0.0000    0.0000    0.0000
  3( 180)  -49.664  5(   1)  -69.579 -19.915    0.0000    0.0000    0.0000    0.0000
  3( 181)  -45.628  5(   1)  -69.579 -23.951   -0.0000    0.0000    0.0000    0.0000
  3( 182)  -43.586  5(   1)  -69.579 -25.993    0.0000    0.0000    0.0000    0.0000
  3( 183)  -41.725  5(   1)  -69.579 -27.854    0.0000    0.0000    0.0000    0.0000
  3( 184)  -40.371  5(   1)  -69.579 -29.208    0.0000    0.0000    0.0000    0.0000
  3( 185)  -35.032  5(   1)  -69.579 -34.547    0.0000    0.0000    0.0000    0.0000
  3( 186)  -56.102  5(   1)  -69.579 -13.477    0.0000    0.0000    0.0000    0.0000
  3( 187)  -56.757  5(   1)  -69.579 -12.822    0.0000    0.0000    0.0000    0.0000
  3( 188)  -53.107  5(   1)  -69.579 -16.472    0.0000    0.0000    0.0000    0.0000
  3( 189)  -55.057  5(   1)  -69.579 -14.522    0.0000    0.0000    0.0000    0.0000
  3( 190)  -54.928  5(   1)  -69.579 -14.651    0.0000    0.0000    0.0000    0.0000
  3( 191)  -53.859  5(   1)  -69.579 -15.720    0.0000    0.0000    0.0000    0.0000
  3( 192)  -53.172  5(   1)  -69.579 -16.407    0.0000    0.0000    0.0000    0.0000
  3( 193)  -52.781  5(   1)  -69.579 -16.798    0.0000    0.0000    0.0000    0.0000
  3( 194)  -52.174  5(   1)  -69.579 -17.405    0.0000    0.0000    0.0000    0.0000
  3( 195)  -51.364  5(   1)  -69.579 -18.215    0.0000    0.0000    0.0000    0.0000
  3( 196)  -50.544  5(   1)  -69.579 -19.035   -0.0000    0.0000    0.0000    0.0000
  3( 197)  -50.581  5(   1)  -69.579 -18.998    0.0000    0.0000    0.0000    0.0000
  3( 198)  -49.010  5(   1)  -69.579 -20.569    0.0000    0.0000    0.0000    0.0000
  3( 199)  -60.981  5(   1)  -69.579  -8.598   -0.0000    0.0000    0.0000    0.0000
  3( 200)  -57.476  5(   1)  -69.579 -12.103    0.0000    0.0000    0.0000    0.0000
