 2xJf      Ef      2xJi     Ei       Ex       Mred.    B(EM )->   B(EM)<-   Mom.
  3(   1)  -93.762  5(   1)  -69.579  24.182    0.1892    0.0090    0.0060    0.0000
  3(   2)  -92.496  5(   1)  -69.579  22.917    0.5062    0.0641    0.0427    0.0000
  3(   3)  -90.428  5(   1)  -69.579  20.849   -0.0350    0.0003    0.0002    0.0000
  3(   4)  -90.145  5(   1)  -69.579  20.566   -0.0945    0.0022    0.0015    0.0000
  3(   5)  -90.065  5(   1)  -69.579  20.486    0.9379    0.2199    0.1466    0.0000
  3(   6)  -88.234  5(   1)  -69.579  18.654    0.0879    0.0019    0.0013    0.0000
  3(   7)  -87.769  5(   1)  -69.579  18.190   -0.2584    0.0167    0.0111    0.0000
  3(   8)  -87.551  5(   1)  -69.579  17.972   -0.4923    0.0606    0.0404    0.0000
  3(   9)  -86.906  5(   1)  -69.579  17.327    0.3684    0.0339    0.0226    0.0000
  3(  10)  -85.754  5(   1)  -69.579  16.175    0.4702    0.0553    0.0369    0.0000
  3(  11)  -85.082  5(   1)  -69.579  15.503    0.6510    0.1059    0.0706    0.0000
  3(  12)  -84.186  5(   1)  -69.579  14.607    0.8764    0.1920    0.1280    0.0000
  3(  13)  -83.198  5(   1)  -69.579  13.619    0.7323    0.1341    0.0894    0.0000
  3(  14)  -82.011  5(   1)  -69.579  12.432   -0.7071    0.1250    0.0833    0.0000
  3(  15)  -80.819  5(   1)  -69.579  11.240    0.8164    0.1666    0.1111    0.0000
  3(  16)  -79.257  5(   1)  -69.579   9.677   -1.0144    0.2572    0.1715    0.0000
  3(  17)  -77.958  5(   1)  -69.579   8.378    1.2648    0.3999    0.2666    0.0000
  3(  18)  -76.470  5(   1)  -69.579   6.891   -1.4533    0.5280    0.3520    0.0000
  3(  19)  -74.887  5(   1)  -69.579   5.308    2.1357    1.1403    0.7602    0.0000
  3(  20)  -73.384  5(   1)  -69.579   3.805    3.4986    3.0600    2.0400    0.0000
  3(  21)  -72.157  5(   1)  -69.579   2.578    3.3720    2.8426    1.8951    0.0000
  3(  22)  -70.522  5(   1)  -69.579   0.943   -2.0380    1.0384    0.6922    0.0000
  3(  23)  -68.694  5(   1)  -69.579  -0.885    1.6054    0.6443    0.4295    0.0000
  3(  24)  -66.702  5(   1)  -69.579  -2.878    1.3286    0.4413    0.2942    0.0000
  3(  25)  -64.779  5(   1)  -69.579  -4.801    0.9908    0.2454    0.1636    0.0000
  3(  26)  -62.723  5(   1)  -69.579  -6.856    0.8116    0.1647    0.1098    0.0000
  3(  27)  -60.459  5(   1)  -69.579  -9.120    0.6907    0.1193    0.0795    0.0000
  3(  28)  -58.143  5(   1)  -69.579 -11.436    0.6391    0.1021    0.0681    0.0000
  3(  29)  -55.852  5(   1)  -69.579 -13.727    0.6250    0.0977    0.0651    0.0000
  3(  30)  -53.590  5(   1)  -69.579 -15.990    0.4767    0.0568    0.0379    0.0000
  3(  31)  -51.105  5(   1)  -69.579 -18.474    0.3803    0.0362    0.0241    0.0000
  3(  32)  -48.508  5(   1)  -69.579 -21.071    0.3036    0.0230    0.0154    0.0000
  3(  33)  -45.780  5(   1)  -69.579 -23.799    0.2535    0.0161    0.0107    0.0000
  3(  34)  -43.063  5(   1)  -69.579 -26.516    0.2109    0.0111    0.0074    0.0000
  3(  35)  -40.245  5(   1)  -69.579 -29.334    0.1746    0.0076    0.0051    0.0000
  3(  36)  -37.416  5(   1)  -69.579 -32.163    0.1404    0.0049    0.0033    0.0000
  3(  37)  -34.466  5(   1)  -69.579 -35.114    0.1060    0.0028    0.0019    0.0000
  3(  38)  -31.417  5(   1)  -69.579 -38.162    0.0832    0.0017    0.0012    0.0000
  3(  39)  -28.428  5(   1)  -69.579 -41.151    0.0571    0.0008    0.0005    0.0000
  3(  40)  -25.139  5(   1)  -69.579 -44.440    0.0380    0.0004    0.0002    0.0000
  3(  41)  -21.902  5(   1)  -69.579 -47.677    0.0266    0.0002    0.0001    0.0000
  3(  42)  -18.769  5(   1)  -69.579 -50.810    0.0166    0.0001    0.0000    0.0000
  3(  43)  -21.618  5(   1)  -69.579 -47.962    0.0110    0.0000    0.0000    0.0000
  3(  44)  -37.904  5(   1)  -69.579 -31.675    0.0105    0.0000    0.0000    0.0000
  3(  45)  -46.004  5(   1)  -69.579 -23.575    0.0125    0.0000    0.0000    0.0000
  3(  46)  -48.116  5(   1)  -69.579 -21.463    0.0154    0.0001    0.0000    0.0000
  3(  47)  -48.851  5(   1)  -69.579 -20.728    0.0184    0.0001    0.0001    0.0000
  3(  48)  -48.446  5(   1)  -69.579 -21.133    0.0205    0.0001    0.0001    0.0000
  3(  49)  -47.859  5(   1)  -69.579 -21.720    0.0220    0.0001    0.0001    0.0000
  3(  50)  -46.315  5(   1)  -69.579 -23.264    0.0229    0.0001    0.0001    0.0000
